registration_surveyid,genotype,yield_ranked,country_name,crop,year,AeZ,longitude,latitude,zone
bd843239-8708-423e-b78a-860293b564c7,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.90337,-2.480858,4
26ddb7a4-60df-4919-a74f-aed34941e616,wh 403,1,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480849,4
26ddb7a4-60df-4919-a74f-aed34941e616,ckhmln 170241,2,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480849,4
26ddb7a4-60df-4919-a74f-aed34941e616,ckdhh 160387,3,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480849,4
21d66073-1f31-406e-9918-94a603a31b67,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480832,4
21d66073-1f31-406e-9918-94a603a31b67,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480832,4
21d66073-1f31-406e-9918-94a603a31b67,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480832,4
ebf3a9f8-dfa9-4c58-9aa0-c77a70a17945,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480829,4
ebf3a9f8-dfa9-4c58-9aa0-c77a70a17945,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480829,4
ebf3a9f8-dfa9-4c58-9aa0-c77a70a17945,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480829,4
d0488d08-33d5-4458-b6e1-42666b6f5dc5,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480835,4
d0488d08-33d5-4458-b6e1-42666b6f5dc5,wh 403,2,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480835,4
d0488d08-33d5-4458-b6e1-42666b6f5dc5,ckdhh 160404,1,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480835,4
1497c397-dd6a-4b82-b064-634d066307c0,ckdhh 160387,2,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480842,4
1497c397-dd6a-4b82-b064-634d066307c0,ckdhh 160404,3,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480842,4
1497c397-dd6a-4b82-b064-634d066307c0,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480842,4
72ce8062-a13c-4e2d-8793-4692c5f83b5d,wh 302,2,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480843,4
72ce8062-a13c-4e2d-8793-4692c5f83b5d,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480843,4
72ce8062-a13c-4e2d-8793-4692c5f83b5d,ckdhh 160387,1,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480843,4
09400ae9-981f-4cfe-81ee-ac9377dcbf6d,ckdhh 160404,3,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480838,4
09400ae9-981f-4cfe-81ee-ac9377dcbf6d,rhm 1409,2,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480838,4
09400ae9-981f-4cfe-81ee-ac9377dcbf6d,ckdhh 170121,1,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480838,4
a8ac0896-0bd6-4165-ab6a-a0466caf8806,wh 504,3,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480879,4
a8ac0896-0bd6-4165-ab6a-a0466caf8806,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480879,4
a8ac0896-0bd6-4165-ab6a-a0466caf8806,ckhmln 170241,1,Rwanda,maize,2022,Tropic - cool / humid,29.90339,-2.480879,4
88d500c3-d853-46a4-bca4-5cd3da240d87,rhm 1409,3,Rwanda,maize,2022,Tropic - cool / humid,29.9034,-2.48081,4
88d500c3-d853-46a4-bca4-5cd3da240d87,wh 504,2,Rwanda,maize,2022,Tropic - cool / humid,29.9034,-2.48081,4
88d500c3-d853-46a4-bca4-5cd3da240d87,wh 403,1,Rwanda,maize,2022,Tropic - cool / humid,29.9034,-2.48081,4
ea956bc8-03b1-4216-b37b-a61a5aaf92ad,wh 403,1,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480842,4
ea956bc8-03b1-4216-b37b-a61a5aaf92ad,ckdhh 170121,2,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480842,4
ea956bc8-03b1-4216-b37b-a61a5aaf92ad,wh 302,3,Rwanda,maize,2022,Tropic - cool / humid,29.90341,-2.480842,4
