"genotype","estimate","SE","quasiSE","quasiVar","environment","ref_gen"
"TMEB419",-0.511280500715163,0.7190794496985,0.482992598108836,0.233281849827924,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMEB693",0.285395886976497,0.684017367103801,0.494213631217195,0.244247113280886,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMEB7",-0.424908097253505,0.697259698726069,0.478439610609888,0.228904461000541,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1049P0001",-0.456777827712511,0.755615858106047,0.536688436603775,0.288034477984204,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1053P0010",-0.437555013469439,0.764822006399747,0.540463632621157,0.292100938186057,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1088P0007",-0.487828367246939,0.740645601117003,0.503213022459103,0.253223345972425,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1153P0001",-0.344058767209903,0.702933018468384,0.511868826998768,0.262009696053095,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1160P0004",0.0330792350206789,0.765733019740371,0.542503625825761,0.294310184034097,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1307P0016",-0.519833652191218,0.732185637929413,0.499449783483898,0.249450086222113,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1343P0022",-0.167869258947743,0.720219251027912,0.484231745968885,0.234480383804075,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F1343P0044",0.149955348411578,0.756964128063268,0.54147759995904,0.293197991257402,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-13F2110P0008",0.0710210654744983,0.704959776278063,0.507948499400745,0.258011678043469,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1035P0004",-0.258073199992309,0.659071037536631,0.489044612960372,0.239164633465561,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1195P0005",-0.995599956691593,0.708922037696045,0.504878551726295,0.254902351993241,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1223P0007",-0.62930991926373,0.737795888165046,0.542467499508983,0.294270988023529,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1287P0008",-0.776127342865851,0.72957443424883,0.505468022647777,0.255497921919453,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1291P0003",-1.04101460992523,0.714497674138709,0.558718713755486,0.312166601100584,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1301P0013",-0.197196853576911,0.694947162059668,0.472647132264511,0.223395311637866,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1306P0015",-0.726566265555933,0.702283497241713,0.497002985578858,0.247011967674299,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1310P0004",-0.315459671486928,0.725096798856024,0.491582417696485,0.241653273388321,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-14F1310P0015",-0.437979506775123,0.709095478944326,0.513668364304394,0.263855188487152,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"TMS-IBA961632",1.22897124074521,0.89348579283895,0.717467172619038,0.514759143785957,"Akwa Ibom-2021","IITA-TMS-IBA000070"
"IITA-TMS-IBA000070",0,0,0.673331994557418,0.453375974894671,"Benue-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA30572",0.670758331001883,0.971963259358081,0.678450092411114,0.460294527892649,"Benue-2019","IITA-TMS-IBA000070"
"IITA-TMS-IBA980581",0.823689031161781,0.89954126170283,0.56715761515556,0.321667760428942,"Benue-2019","IITA-TMS-IBA000070"
"K195",1.07444587504372,0.95087341329995,0.641203563813903,0.41114201024765,"Benue-2019","IITA-TMS-IBA000070"
"TMEB2",-0.063814189240594,0.945486188146391,0.641231417625788,0.411177730950378,"Benue-2019","IITA-TMS-IBA000070"
"TMEB419",1.09243971132492,0.913980625857283,0.661949090225169,0.438176598049929,"Benue-2019","IITA-TMS-IBA000070"
"TMEB693",-0.19750133075724,0.90244545584345,0.577933045716347,0.334006605330974,"Benue-2019","IITA-TMS-IBA000070"
"TMEB7",-0.182574294052173,0.879660257810058,0.628452704669787,0.39495280200677,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1049P0001",-0.348450903153542,1.21408169168296,1.12975937099251,1.27635623634539,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1053P0010",0.0993646431004272,0.869084931362898,0.516390529100949,0.266659178545158,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1088P0007",-0.898733748231037,0.936943806519034,0.640675655255444,0.410465295236993,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1153P0001",0.417023257820196,0.982330147988054,0.744405941210739,0.554140205309846,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1160P0004",-0.712724219084798,1.00161831086987,0.72264824576078,0.522220487101132,"Benue-2019","IITA-TMS-IBA000070"
"TMS-13F1307P0016",2.00237755051197,1.07386196106464,0.823443773256194,0.678059647714399,"Benue-2019","IITA-TMS-IBA000070"
